Tanggal,Kurs
1/12/2024 12:00:00 AM,15559
1/11/2024 12:00:00 AM,15558
1/10/2024 12:00:00 AM,15568
1/9/2024 12:00:00 AM,15518
1/8/2024 12:00:00 AM,15522
1/5/2024 12:00:00 AM,15518
1/4/2024 12:00:00 AM,15525
1/3/2024 12:00:00 AM,15495
1/2/2024 12:00:00 AM,15473
12/29/2023 12:00:00 AM,15439
12/28/2023 12:00:00 AM,15416
12/27/2023 12:00:00 AM,15414
12/22/2023 12:00:00 AM,15489
12/21/2023 12:00:00 AM,15533
12/20/2023 12:00:00 AM,15512
12/19/2023 12:00:00 AM,15506
12/18/2023 12:00:00 AM,15516
12/15/2023 12:00:00 AM,15503
12/14/2023 12:00:00 AM,15493
12/13/2023 12:00:00 AM,15629
12/12/2023 12:00:00 AM,15631
12/11/2023 12:00:00 AM,15614
12/8/2023 12:00:00 AM,15500
12/7/2023 12:00:00 AM,15536
12/6/2023 12:00:00 AM,15504
12/5/2023 12:00:00 AM,15504
12/4/2023 12:00:00 AM,15446
12/1/2023 12:00:00 AM,15524
11/30/2023 12:00:00 AM,15484
11/29/2023 12:00:00 AM,15384
11/28/2023 12:00:00 AM,15450
11/27/2023 12:00:00 AM,15527
11/24/2023 12:00:00 AM,15587
11/23/2023 12:00:00 AM,15593
11/22/2023 12:00:00 AM,15584
11/21/2023 12:00:00 AM,15436
11/20/2023 12:00:00 AM,15419
11/17/2023 12:00:00 AM,15504
11/16/2023 12:00:00 AM,15595
11/15/2023 12:00:00 AM,15503
11/14/2023 12:00:00 AM,15699
11/13/2023 12:00:00 AM,15713
11/10/2023 12:00:00 AM,15693
11/9/2023 12:00:00 AM,15649
11/8/2023 12:00:00 AM,15629
11/7/2023 12:00:00 AM,15593
11/6/2023 12:00:00 AM,15550
11/3/2023 12:00:00 AM,15771
11/2/2023 12:00:00 AM,15861
11/1/2023 12:00:00 AM,15946
10/31/2023 12:00:00 AM,15897
10/30/2023 12:00:00 AM,15916
10/27/2023 12:00:00 AM,15941
10/26/2023 12:00:00 AM,15933
10/25/2023 12:00:00 AM,15871
10/24/2023 12:00:00 AM,15869
10/23/2023 12:00:00 AM,15943
10/20/2023 12:00:00 AM,15856
10/19/2023 12:00:00 AM,15838
10/18/2023 12:00:00 AM,15731
10/17/2023 12:00:00 AM,15718
10/16/2023 12:00:00 AM,15716
10/13/2023 12:00:00 AM,15709
10/12/2023 12:00:00 AM,15702
10/11/2023 12:00:00 AM,15710
10/10/2023 12:00:00 AM,15708
10/9/2023 12:00:00 AM,15675
10/6/2023 12:00:00 AM,15628
10/5/2023 12:00:00 AM,15601
10/4/2023 12:00:00 AM,15636
10/3/2023 12:00:00 AM,15600
10/2/2023 12:00:00 AM,15519
9/29/2023 12:00:00 AM,15487
9/27/2023 12:00:00 AM,15526
9/26/2023 12:00:00 AM,15464
9/25/2023 12:00:00 AM,15399
9/22/2023 12:00:00 AM,15383
9/21/2023 12:00:00 AM,15397
9/20/2023 12:00:00 AM,15396
9/19/2023 12:00:00 AM,15381
9/18/2023 12:00:00 AM,15373
9/15/2023 12:00:00 AM,15367
9/14/2023 12:00:00 AM,15357
9/13/2023 12:00:00 AM,15367
9/12/2023 12:00:00 AM,15344
9/11/2023 12:00:00 AM,15352
9/8/2023 12:00:00 AM,15341
9/7/2023 12:00:00 AM,15334
9/6/2023 12:00:00 AM,15307
9/5/2023 12:00:00 AM,15260
9/4/2023 12:00:00 AM,15247
9/1/2023 12:00:00 AM,15252
