source,target
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/en-us/enterprise
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/en-us/windows/windows-11-apps
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/en-us/about
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/investor/default.aspx
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/en-us/store/b/sale?icid=gm_nav_L0_salepage
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/trademarks
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/en-us/surface
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/en-us/store/b/xbox?icid=CNavDevicesXbox
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/en-us/store/games/windows?icid=TopNavWindowsGames
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/en-us/education
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/en-us/accessibility
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/en-us/store/locations/find-a-store?icid=TopNavStoreLocations
https://www.microsoft.com/en-us/store/b/gift-cards,https://www.microsoft.com/en-us/sustainability/
https://www.microsoft.com/en-us/store/b/why-microsoft-store?icid=footer_why-msft-store_7102020,https://www.microsoft.com/en-us/store/b/gift-cards
https://www.microsoft.com/en-us/store/b/why-microsoft-store?icid=footer_why-msft-store_7102020,https://www.microsoft.com/en-us/store/b/why-microsoft-store?icid=footer_why-msft-store_7102020
https://www.microsoft.com/en-us/store/b/why-microsoft-store?icid=footer_why-msft-store_7102020,http://www.microsoft.com/en-us/locale.aspx
https://www.microsoft.com/en-us/store/b/why-microsoft-store?icid=footer_why-msft-store_7102020,https://www.microsoft.com/en-us/d/Surface-Laptop-Studio-2/8rqr54krf1dz
https://www.microsoft.com/en-us/store/b/why-microsoft-store?icid=footer_why-msft-store_7102020,https://www.microsoft.com/en-us/dynamics365/home
https://www.microsoft.com/en-us/store/b/why-microsoft-store?icid=footer_why-msft-store_7102020,https://www.microsoft.com/en-us/microsoft-copilot
https://www.microsoft.com/en-us/store/b/why-microsoft-store?icid=footer_why-msft-store_7102020,https://www.microsoft.com/en-us/store/b/virtualreality?icid=CNavVirtualReality
