Kurs Jual,Kurs Beli,Tanggal
10479.99,10375.02,4-3-2024
10555.79,10448.66,1-3-2024
10448.66,10344.02,2-29-2024
10465.13,10360.31,2-28-2024
10442.03,10337.45,2-27-2024
10407.16,10302.93,2-26-2024
10462.34,10356.16,2-23-2024
10481.78,10374.02,2-22-2024
10466.41,10360.2,2-21-2024
10474.89,10368.59,2-20-2024
10471.43,10365.16,2-19-2024
10442.1,10337.51,2-16-2024
10469.17,10364.31,2-15-2024
10523.18,10417.77,2-13-2024
10661.77,10553.54,12-2-2024
10646.83,10540.18,7-2-2024
10628.63,10520.76,6-2-2024
10754.73,10645.54,5-2-2024
10801.12,10692.92,2-2-2024
10759.44,10651.67,1-2-2024
10776.58,10668.63,1-31-2024
10762.76,10654.95,1-30-2024
10766.94,10656.19,1-29-2024
10730.57,10621.65,1-26-2024
10692.83,10585.73,1-25-2024
10659.36,10551.15,1-24-2024
10607.28,10501.02,1-23-2024
10593.65,10484.7,1-22-2024
10625.82,10519.38,1-19-2024
10635.53,10527.58,1-18-2024
10719.63,10610.79,1-17-2024
10748.6,10640.93,1-16-2024
10772.86,10664.92,1-15-2024
10753.64,10644.44,12-1-2024
10795.45,10685.82,11-1-2024
10825.76,10715.81,10-1-2024
10803.05,10693.34,9-1-2024
10756.32,10647.09,8-1-2024
10878.98,10769.98,5-1-2024
10931.89,10822.35,4-1-2024
10987.32,10875.7,3-1-2024
10976.37,10864.85,2-1-2024
11010.65,10898.76,12-29-2023
10858.73,10748.43,12-28-2023
10939.94,10830.33,12-27-2023
10896.74,10787.55,12-22-2023
10857.75,10748.97,12-21-2023
10804.64,10696.39,12-20-2023
10954.39,10844.63,12-19-2023
10977.6,10867.61,12-18-2023
10969.75,10858.3,12-15-2023
10775.3,10665.88,12-14-2023
10797.42,10687.77,12-13-2023
10718.63,10611.25,12-12-2023
10816.96,10708.58,11-12-2023
10722.21,10614.79,8-12-2023
10606.17,10498.49,7-12-2023
10614.11,10506.35,6-12-2023
10559.3,10452.1,5-12-2023
10523.86,10417.04,4-12-2023
10582.4,10476.39,1-12-2023
10494.79,10389.66,11-30-2023
10456.76,10352.02,11-29-2023
10470.1,10365.22,11-28-2023
10484.53,10378.13,11-27-2023
10501.92,10396.72,11-24-2023
10514.88,10409.56,11-23-2023
10513.13,10407.82,11-22-2023
10406.35,10302.12,11-21-2023
10357.99,10252.88,11-20-2023
10354.09,10249.02,11-17-2023
10342.88,10237.93,11-16-2023
10404.58,10300.36,11-15-2023
10407.68,10303.43,11-14-2023
10417.78,10313.43,11-13-2023
10422.99,10318.59,10-11-2023
10426.25,10321.82,9-11-2023
10415.37,10311.05,8-11-2023
10440.77,10334.81,7-11-2023
10543.37,10437.77,6-11-2023
10599.32,10490.35,3-11-2023
10589.22,10483.16,2-11-2023
10629.03,10522.56,1-11-2023
10698.67,10591.51,10-31-2023
10669.09,10562.23,10-30-2023
10643.18,10536.57,10-27-2023
10642.08,10534.09,10-26-2023
10670.64,10563.77,10-25-2023
10688.23,10581.16,10-24-2023
10626.35,10519.92,10-23-2023
10626.34,10518.5,10-20-2023
10558.78,10451.62,10-19-2023
10558.51,10451.36,10-18-2023
10559.99,10454.22,10-17-2023
10550.35,10443.28,10-16-2023
10579.59,10472.21,10-13-2023
10611.3,10505.01,12-10-2023
10596.42,10490.27,11-10-2023
10561.4,10454.91,10-10-2023
10549.53,10443.16,9-10-2023
10518.58,10411.83,6-10-2023
10557.77,10451.31,5-10-2023
10468.05,10363.2,4-10-2023
10417.17,10312.15,3-10-2023
10462.08,10354.5,2-10-2023
10472.94,10366.64,9-29-2023
10443.03,10335.65,9-27-2023
10424.36,10318.54,9-26-2023
10426.87,10321.72,9-25-2023
10437.77,10333.21,9-22-2023
10447.66,10342.3,9-21-2023
10472.13,10364.41,9-20-2023
10459.59,10352.02,9-19-2023
10453.38,10348.68,9-18-2023
10479.92,10374.95,9-15-2023
10486.75,10380.29,9-14-2023
10503.15,10396.51,9-13-2023
10554.63,10448.9,12-9-2023
10461.19,10355.7,11-9-2023
10452.16,10347.46,8-9-2023
10440.13,10334.15,7-9-2023
10437.83,10331.86,6-9-2023
10468.12,10361.83,5-9-2023
10542.86,10435.8,4-9-2023
10499.27,10391.95,1-9-2023
10462.62,10357.82,8-31-2023
10474.82,10369.87,8-30-2023
10491.79,10385.27,8-29-2023
10529.07,10423.58,8-28-2023
10547.9,10440.8,8-25-2023
10589.17,10481.65,8-24-2023
10568.57,10461.25,8-23-2023
10593.17,10485.6,8-22-2023
10591.04,10483.49,8-21-2023
10582.29,10476.28,8-18-2023
10575.83,10469.88,8-16-2023
10635.09,10527.09,8-15-2023
10581.69,10474.23,8-14-2023
10625.88,10519.42,11-8-2023
10665.85,10558.99,10-8-2023
10693.93,10585.3,9-8-2023
10733.11,10625.56,8-8-2023
10687.68,10579.11,7-8-2023
10688.59,10581.49,4-8-2023
10691.29,10584.17,3-8-2023
10644.28,10536.16,2-8-2023
10669.29,10560.9,1-8-2023
10845.26,10736.57,7-31-2023
10773.85,10665.9,7-28-2023
10740.96,10631.82,7-27-2023
10667.73,10559.35,7-26-2023
10675.11,10566.65,7-25-2023
10685.01,10577.95,7-24-2023
10792.23,10682.55,7-21-2023
10900.59,10791.34,7-20-2023
