NO;Tanggal;Kurs;
145;1/16/2024 12:00:00 AM;15592;
146;1/15/2024 12:00:00 AM;15555;
147;1/12/2024 12:00:00 AM;15559;
148;1/11/2024 12:00:00 AM;15558;
149;1/10/2024 12:00:00 AM;15568;
150;1/9/2024 12:00:00 AM;15518;
151;1/8/2024 12:00:00 AM;15522;
152;1/5/2024 12:00:00 AM;15518;
153;1/4/2024 12:00:00 AM;15525;
154;1/3/2024 12:00:00 AM;15495;
155;1/2/2024 12:00:00 AM;15473;
156;12/29/2023 12:00:00 AM;15439;
157;12/28/2023 12:00:00 AM;15416;
158;12/27/2023 12:00:00 AM;15414;
159;12/22/2023 12:00:00 AM;15489;
160;12/21/2023 12:00:00 AM;15533;
161;12/20/2023 12:00:00 AM;15512;
162;12/19/2023 12:00:00 AM;15506;
163;12/18/2023 12:00:00 AM;15516;
164;12/15/2023 12:00:00 AM;15503;
165;12/14/2023 12:00:00 AM;15493;
166;12/13/2023 12:00:00 AM;15629;
167;12/12/2023 12:00:00 AM;15631;
168;12/11/2023 12:00:00 AM;15614;
169;12/8/2023 12:00:00 AM;15500;
170;12/7/2023 12:00:00 AM;15536;
171;12/6/2023 12:00:00 AM;15504;
172;12/5/2023 12:00:00 AM;15504;
173;12/4/2023 12:00:00 AM;15446;
174;12/1/2023 12:00:00 AM;15524;
175;11/30/2023 12:00:00 AM;15484;
176;11/29/2023 12:00:00 AM;15384;
177;11/28/2023 12:00:00 AM;15450;
178;11/27/2023 12:00:00 AM;15527;
179;11/24/2023 12:00:00 AM;15587;
180;11/23/2023 12:00:00 AM;15593;
181;11/22/2023 12:00:00 AM;15584;
182;11/21/2023 12:00:00 AM;15436;
183;11/20/2023 12:00:00 AM;15419;
184;11/17/2023 12:00:00 AM;15504;
185;11/16/2023 12:00:00 AM;15595;
186;11/15/2023 12:00:00 AM;15503;
187;11/14/2023 12:00:00 AM;15699;
188;11/13/2023 12:00:00 AM;15713;
189;11/10/2023 12:00:00 AM;15693;
190;11/9/2023 12:00:00 AM;15649;
191;11/8/2023 12:00:00 AM;15629;
192;11/7/2023 12:00:00 AM;15593;
193;11/6/2023 12:00:00 AM;15550;
194;11/3/2023 12:00:00 AM;15771;
195;11/2/2023 12:00:00 AM;15861;
196;11/1/2023 12:00:00 AM;15946;
197;10/31/2023 12:00:00 AM;15897;
198;10/30/2023 12:00:00 AM;15916;
199;10/27/2023 12:00:00 AM;15941;
200;10/26/2023 12:00:00 AM;15933;
201;10/25/2023 12:00:00 AM;15871;
202;10/24/2023 12:00:00 AM;15869;
203;10/23/2023 12:00:00 AM;15943;
204;10/20/2023 12:00:00 AM;15856;
205;10/19/2023 12:00:00 AM;15838;
206;10/18/2023 12:00:00 AM;15731;
207;10/17/2023 12:00:00 AM;15718;
208;10/16/2023 12:00:00 AM;15716;
209;10/13/2023 12:00:00 AM;15709;
210;10/12/2023 12:00:00 AM;15702;
211;10/11/2023 12:00:00 AM;15710;
212;10/10/2023 12:00:00 AM;15708;
213;10/9/2023 12:00:00 AM;15675;
214;10/6/2023 12:00:00 AM;15628;
215;10/5/2023 12:00:00 AM;15601;
216;10/4/2023 12:00:00 AM;15636;
217;10/3/2023 12:00:00 AM;15600;
218;10/2/2023 12:00:00 AM;15519;
219;9/29/2023 12:00:00 AM;15487;
220;9/27/2023 12:00:00 AM;15526;
221;9/26/2023 12:00:00 AM;15464;
222;9/25/2023 12:00:00 AM;15399;
223;9/22/2023 12:00:00 AM;15383;
224;9/21/2023 12:00:00 AM;15397;
225;9/20/2023 12:00:00 AM;15396;
226;9/19/2023 12:00:00 AM;15381;
227;9/18/2023 12:00:00 AM;15373;
228;9/15/2023 12:00:00 AM;15367;
229;9/14/2023 12:00:00 AM;15357;
230;9/13/2023 12:00:00 AM;15367;
231;9/12/2023 12:00:00 AM;15344;
232;9/11/2023 12:00:00 AM;15352;
233;9/8/2023 12:00:00 AM;15341;
234;9/7/2023 12:00:00 AM;15334;
235;9/6/2023 12:00:00 AM;15307;
236;9/5/2023 12:00:00 AM;15260;
237;9/4/2023 12:00:00 AM;15247;
238;9/1/2023 12:00:00 AM;15252;
239;8/31/2023 12:00:00 AM;15237;
240;8/30/2023 12:00:00 AM;15239;
241;8/29/2023 12:00:00 AM;15263;
242;8/28/2023 12:00:00 AM;15294;
243;8/25/2023 12:00:00 AM;15297;
244;8/24/2023 12:00:00 AM;15253;
245;8/23/2023 12:00:00 AM;15319;
246;8/22/2023 12:00:00 AM;15326;
247;8/21/2023 12:00:00 AM;15329;
248;8/18/2023 12:00:00 AM;15308;
249;8/16/2023 12:00:00 AM;15308;
250;8/15/2023 12:00:00 AM;15346;
251;8/14/2023 12:00:00 AM;15323;
252;8/11/2023 12:00:00 AM;15225;
253;8/10/2023 12:00:00 AM;15204;
254;8/9/2023 12:00:00 AM;15206;
255;8/8/2023 12:00:00 AM;15229;
256;8/7/2023 12:00:00 AM;15178;
257;8/4/2023 12:00:00 AM;15168;
258;8/3/2023 12:00:00 AM;15198;
259;8/2/2023 12:00:00 AM;15171;
260;8/1/2023 12:00:00 AM;15117;
261;7/31/2023 12:00:00 AM;15092;
262;7/28/2023 12:00:00 AM;15083;
263;7/27/2023 12:00:00 AM;15003;
264;7/26/2023 12:00:00 AM;15032;
265;7/25/2023 12:00:00 AM;15007;
266;7/24/2023 12:00:00 AM;15028;
267;7/21/2023 12:00:00 AM;15026;
268;7/20/2023 12:00:00 AM;14991;
269;7/18/2023 12:00:00 AM;14994;
270;7/17/2023 12:00:00 AM;15007;
271;7/14/2023 12:00:00 AM;14945;
272;7/13/2023 12:00:00 AM;14978;
273;7/12/2023 12:00:00 AM;15084;
274;7/11/2023 12:00:00 AM;15162;
275;7/10/2023 12:00:00 AM;15192;
276;7/7/2023 12:00:00 AM;15136;
277;7/6/2023 12:00:00 AM;15062;
278;7/5/2023 12:00:00 AM;15013;
279;7/4/2023 12:00:00 AM;15018;
280;7/3/2023 12:00:00 AM;15034;
281;6/27/2023 12:00:00 AM;15000;
282;6/26/2023 12:00:00 AM;15026;
283;6/23/2023 12:00:00 AM;14998;
284;6/22/2023 12:00:00 AM;14918;
285;6/21/2023 12:00:00 AM;14982;
286;6/20/2023 12:00:00 AM;15040;
287;6/19/2023 12:00:00 AM;14994;
288;6/16/2023 12:00:00 AM;14945;
289;6/15/2023 12:00:00 AM;14943;
290;6/14/2023 12:00:00 AM;14895;
291;6/13/2023 12:00:00 AM;14868;
292;6/12/2023 12:00:00 AM;14874;
293;6/9/2023 12:00:00 AM;14853;
294;6/8/2023 12:00:00 AM;14903;
295;6/7/2023 12:00:00 AM;14875;
296;6/6/2023 12:00:00 AM;14839;
297;6/5/2023 12:00:00 AM;14888;
298;5/31/2023 12:00:00 AM;15003;
299;5/30/2023 12:00:00 AM;14969;
300;5/29/2023 12:00:00 AM;14973;
301;5/26/2023 12:00:00 AM;14959;
302;5/25/2023 12:00:00 AM;14952;
303;5/24/2023 12:00:00 AM;14905;
304;5/23/2023 12:00:00 AM;14878;
305;5/22/2023 12:00:00 AM;14897;
306;5/19/2023 12:00:00 AM;14936;
307;5/17/2023 12:00:00 AM;14875;
308;5/16/2023 12:00:00 AM;14810;
309;5/15/2023 12:00:00 AM;14812;
310;5/12/2023 12:00:00 AM;14752;
311;5/11/2023 12:00:00 AM;14722;
312;5/10/2023 12:00:00 AM;14746;
313;5/9/2023 12:00:00 AM;14757;
314;5/8/2023 12:00:00 AM;14709;
315;5/5/2023 12:00:00 AM;14674;
316;5/4/2023 12:00:00 AM;14632;
317;5/3/2023 12:00:00 AM;14706;
318;5/2/2023 12:00:00 AM;14703;
319;4/28/2023 12:00:00 AM;14661;
320;4/27/2023 12:00:00 AM;14751;
321;4/26/2023 12:00:00 AM;14882;
322;4/18/2023 12:00:00 AM;14855;
323;4/17/2023 12:00:00 AM;14773;
324;4/14/2023 12:00:00 AM;14666;
325;4/13/2023 12:00:00 AM;14792;
326;4/12/2023 12:00:00 AM;14866;
327;4/11/2023 12:00:00 AM;14888;
328;4/10/2023 12:00:00 AM;14905;
329;4/6/2023 12:00:00 AM;14943;
330;4/5/2023 12:00:00 AM;14933;
331;4/4/2023 12:00:00 AM;14913;
332;4/3/2023 12:00:00 AM;14990;
333;3/31/2023 12:00:00 AM;14977;
334;3/30/2023 12:00:00 AM;15062;
335;3/29/2023 12:00:00 AM;15094;
336;3/28/2023 12:00:00 AM;15088;
337;3/27/2023 12:00:00 AM;15174;
338;3/24/2023 12:00:00 AM;15189;
339;3/21/2023 12:00:00 AM;15349;
340;3/20/2023 12:00:00 AM;15372;
341;3/17/2023 12:00:00 AM;15364;
342;3/16/2023 12:00:00 AM;15418;
343;3/15/2023 12:00:00 AM;15365;
344;3/14/2023 12:00:00 AM;15380;
345;3/13/2023 12:00:00 AM;15374;
346;3/10/2023 12:00:00 AM;15468;
347;3/9/2023 12:00:00 AM;15438;
348;3/8/2023 12:00:00 AM;15451;
349;3/7/2023 12:00:00 AM;15359;
350;3/6/2023 12:00:00 AM;15301;
351;3/3/2023 12:00:00 AM;15306;
352;3/2/2023 12:00:00 AM;15273;
353;3/1/2023 12:00:00 AM;15250;
354;2/28/2023 12:00:00 AM;15240;
355;2/27/2023 12:00:00 AM;15274;
356;2/24/2023 12:00:00 AM;15216;
357;2/23/2023 12:00:00 AM;15187;
358;2/22/2023 12:00:00 AM;15218;
359;2/21/2023 12:00:00 AM;15179;
360;2/20/2023 12:00:00 AM;15168;
361;2/17/2023 12:00:00 AM;15199;
362;2/16/2023 12:00:00 AM;15176;
363;2/15/2023 12:00:00 AM;15194;
364;2/14/2023 12:00:00 AM;15168;
365;2/13/2023 12:00:00 AM;15216;
366;2/10/2023 12:00:00 AM;15140;
367;2/9/2023 12:00:00 AM;15120;
