Kurs Jual,Kurs Beli,Tanggal
10198.17,10096.07,2024-08-07
10183.36,10080.16,2024-05-07
10180.47,10076.05,2024-04-07
10185.53,10083.55,2024-03-07
10206.01,10103.83,2024-02-07
10239.88,10137.36,2024-01-07
10279.74,10175.56,2024-28-06
10330.33,10226.27,2024-27-06
10320.96,10216.34,2024-26-06
10340.75,10237.22,2024-25-06
10417.77,10313.46,2024-24-06
10426.55,10320.85,2024-21-06
10427.13,10322.72,2024-20-06
10431.61,10325.85,2024-19-06
10407.88,10302.35,2024-14-06
10415.57,10309.96,2024-13-06
10410.99,10304.11,2024-12-06
10426.35,10320.63,2024-11-06
10484.43,10378.1,2024-10-06
10470.66,10363.15,2024-07-06
10479.96,10373.69,2024-06-06
10493.14,10386.73,2024-05-06
10380.12,10276.18,2024-04-06
10391.46,10286.1,2024-03-06
10405.31,10301.13,2024-31-05
10337.87,10233.06,2024-30-05
10311.39,10206.83,2024-29-05
10290.87,10185.23,2024-28-05
10278.12,10175.19,2024-27-05
10309.28,10206.04,2024-22-05
10313.98,10210.7,2024-21-05
10304.75,10201.56,2024-20-05
10379.4,10275.46,2024-17-05
10346.82,10241.9,2024-16-05
10362.2,10257.12,2024-15-05
10371.76,10266.59,2024-14-05
10403.89,10299.7,2024-13-05
10470.68,10364.48,2024-08-05
10470.8,10364.59,2024-07-05
10553.61,10447.92,2024-06-05
10473.41,10368.53,2024-03-05
10428.01,10320.96,2024-02-05
10498.39,10391.92,2024-30-04
10429.32,10323.56,2024-29-04
10467.86,10360.38,2024-26-04
10485.35,10379,2024-25-04
10544.65,10437.7,2024-24-04
10543.24,10436.31,2024-23-04
10593.33,10485.89,2024-22-04
10538.59,10431.7,2024-19-04
10556.37,10449.3,2024-18-04
10529.75,10422.95,2024-17-04
10540.74,10433.8,2024-16-04
10538.95,10432.03,2024-05-04
10550.24,10444.58,2024-04-04
10560.32,10451.8,2024-03-04
10564.66,10457.46,2024-02-04
10534.48,10427.6,2024-01-04
10503.17,10397.98,2024-28-03
10491.67,10385.21,2024-27-03
10491.03,10385.95,2024-26-03
10468.8,10363.96,2024-25-03
10408.88,10301.9,2024-22-03
10434.14,10329.63,2024-21-03
10506.73,10401.49,2024-20-03
10562.91,10454.3,2024-19-03
10566.7,10460.86,2024-18-03
10593.19,10487.07,2024-15-03
10602.74,10495.1,2024-14-03
10606.03,10498.37,2024-13-03
10634.78,10528.25,2024-08-03
10563.28,10457.48,2024-07-03
10529.84,10422.99,2024-06-03
10511.98,10406.7,2024-05-03
10479.99,10375.02,2024-04-03
10555.79,10448.66,2024-01-03
10448.66,10344.02,2024-29-02
10465.13,10360.31,2024-28-02
10442.03,10337.45,2024-27-02
10407.16,10302.93,2024-26-02
10462.34,10356.16,2024-23-02
10481.78,10374.02,2024-22-02
10466.41,10360.2,2024-21-02
10474.89,10368.59,2024-20-02
10471.43,10365.16,2024-19-02
10442.1,10337.51,2024-16-02
10469.17,10364.31,2024-15-02
10523.18,10417.77,2024-13-02
10661.77,10553.54,2024-12-02
10646.83,10540.18,2024-07-02
10628.63,10520.76,2024-06-02
10754.73,10645.54,2024-05-02
10801.12,10692.92,2024-02-02
10759.44,10651.67,2024-01-02
10776.58,10668.63,2024-31-01
10762.76,10654.95,2024-30-01
10766.94,10656.19,2024-29-01
10730.57,10621.65,2024-26-01
