reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
37beed38-0a78-4ffb-8b73-e7ce7c2b509f,Mufid Rosyadi,https://play-lh.googleusercontent.com/a-/ALV-UjXBj_txWvcFLYzeJkS-PLEuu-zNhZ9kRh5cUVSoOxyc3kgyBAc,Lebih nyaman dengan berbagai kemudahan.,5,0,,2024-11-22 10:12:46,,,
24a9909d-c242-4989-bc22-77dbefd41804,Muhammad Fauzi,https://play-lh.googleusercontent.com/a/ACg8ocKpxxkLuFwAmJDAcuKwuMMZamcFdAK59JIJAsK2DEZqMJ1Ciw=mo,"tiket yg dibeli ga bisa dibatalin ,jadi rugi banyak",1,0,6.8.1,2024-11-22 06:32:13,,,6.8.1
565c851c-924f-4d26-a5ef-bd464efd805b,Sharfina Ananda,https://play-lh.googleusercontent.com/a-/ALV-UjXvKRKvNeNtoQlG7me97Mq3Al0A2w0ddeh2jkHNnF1SwypaqKo,"Aplikasinya jelek bgttt huu, masa pas co tiket dan bayar eror terusssss? Kesel bgtt mana tiketnya sering cepat habis Pliss di bagusin woiiii",1,0,6.8.1,2024-11-22 06:05:35,,,6.8.1
b7b115ca-a9c0-4b7b-91cf-920dee2f19ef,Nida G. Fauziyyah,https://play-lh.googleusercontent.com/a-/ALV-UjVpkAQQgwf8hotmHpwUwt_h8xNSmYfkwkkZPiF28_eIS_nkbuAcnQ,Tiket di Siang hari tidak ada,2,0,6.8.1,2024-11-22 05:09:44,,,6.8.1
13be7628-9d64-40fd-a7a4-221519cf65b6,Dewi Riani,https://play-lh.googleusercontent.com/a/ACg8ocJ11QQRNakzmdzzDAV28L1NBSAi_0nBGeKqxnETpaX8UQIIxQ=mo,sangat membantu saya dalam perjalanan,5,0,6.8.1,2024-11-22 03:16:20,,,6.8.1
8e87cd0e-ec18-40ac-bee5-13d3f4f2d183,toram online28,https://play-lh.googleusercontent.com/a/ACg8ocIS6ngOEKgYjx0oBP3TiBWWpqefUOZLCCFvFCnrApoCezW6jQ=mo,Busuk sekali searching kereta aja gak bisa wifi kuota aman . Mending benerin dlu deh,1,0,,2024-11-22 00:15:43,,,
f00ce532-e5a8-4fad-aa2e-279c12bb2a8b,Candra Riski P Riski,https://play-lh.googleusercontent.com/a/ACg8ocLhXK7QQZ3Ot6E2dz2gmUa_FYAG96R1s7vBr_4jrUSWbDx2Lg=mo,BzA sda a AZas advice AS,5,0,6.7.0,2024-11-21 23:23:42,,,6.7.0
23b4799b-3a1e-4b78-a130-2e9ade88cba6,Maudita lovers,https://play-lh.googleusercontent.com/a-/ALV-UjVhoTpZMeU3FHQ_K3imeiyBmIMWS0d5gHCPjgr4BQBNQcZgfphn,"Padahal sya suka sekali pakai accses kai,tp setelah pemberitahuan bhwa hp saya tidak komportable buat aplikasi ini saya kecewa,masa hrs ganti hp.duit drmn??",1,2,6.8.1,2024-11-21 22:07:09,,,6.8.1
ed1b4bfe-c6a0-4e88-9702-63d45ab7d4b2,RHaps,https://play-lh.googleusercontent.com/a-/ALV-UjW8ml8ZDGMejseiZ1dD10Il4Dz7An5KGfVQx5DvDgtXa0hbnMPkuw,"Sistem pembayarannya suuuliiittt, apalagi pake QRIS. Tiket jadi hangus. KEMBALIKAN APLIKASI ACCESS YANG LAMA",1,0,6.8.1,2024-11-21 19:33:24,,,6.8.1
3dbdc4be-fddb-47ab-88d6-56b24cfa3b6d,Zulfan Septian,https://play-lh.googleusercontent.com/a/ACg8ocKmkfypZ3GeN3LZuWdAlFGimcWmhXDoeBk7j-xjktPsE7h2bw=mo,Saya sudah top up buat KAI pay tapi saldo tetep 0 padahal sudah top up 2x tolong di tindak lanjuti,1,0,6.8.1,2024-11-21 16:56:20,,,6.8.1
986f4a25-e91a-4f2b-b40e-e4f2e14d0a04,Luqman Hakim,https://play-lh.googleusercontent.com/a-/ALV-UjWFUG2AWKHMlZdRZXoL1gmn4cMb2uM76wdUl9rR2zwmp3uj-og,BINTANG LIMA,5,0,6.8.1,2024-11-21 16:10:53,,,6.8.1
01d0db72-7424-499f-9994-866699d62aad,Ade Cahyadi,https://play-lh.googleusercontent.com/a-/ALV-UjWQ1T_TwF_Q9S7n9E4nkfr-c4CWa8SlMBjgCydavCpsHayLNqcJ,"Keren, semua jadi mudah. Terima kasih KAI",5,0,6.8.1,2024-11-21 15:52:42,,,6.8.1
7fc8e607-e59c-46d5-9270-438865ca2093,Nuna Palupi18,https://play-lh.googleusercontent.com/a-/ALV-UjW8iCPtCmizdbvTkDUaH4Zr4WKph4IsVfERZu_K6sSsA9XkEe-z,"Saya sudah top up kena admin 6.500, saya isi 20ribu kena 26ribu 5ratuss. Setelahnya masih kena lagi 2ribu, total bayar 26.500 yang masuk 18ribu, saya kudu nombok lagi buat top up. Saya hanya butuh 20ribu ribu tapi yang saya keluarkan 43ribuuuu dan masih kena admin 4ribu lagi. Demi Allah saya ga iklhas uang saya hilang sia sia. Biar jadi nanah sama paku itu uang yang kalian ambil.",1,0,6.8.1,2024-11-21 10:48:49,,,6.8.1
b81e188e-1506-40c7-b3de-1f2042fb2da3,Sri Tin Turah Setyaningsih,https://play-lh.googleusercontent.com/a/ACg8ocLPRqSqbdhQs-YW-33VpgN7lVJRJyghcD2tm3FY2ucAAV2cGA=mo,sangat membantu,5,0,6.6.1,2024-11-21 09:43:45,,,6.6.1
81f9d3dc-e11c-4d67-adfa-3c9750b4ceb1,Herman Awa,https://play-lh.googleusercontent.com/a/ACg8ocKkeEtdaERZ5OetcHVVklknX1dyAdEfcoe1DLwPN-oZYwhzvQ=mo,Sangat membantu,5,0,6.8.1,2024-11-21 08:56:39,,,6.8.1
f7643e88-5611-4759-9d51-8beb9c8ac37c,Rafa Food,https://play-lh.googleusercontent.com/a/ACg8ocKat33LSGnpDpk-izFqKwmTGHSAmGquQH2yhDasFmT-CdLJlA=mo,Kai BIAS bandara solo Madiun belum ada di aplikasi,3,0,,2024-11-21 08:15:32,,,
4a5e7f64-cf9d-49da-b123-51e6ec6a6d8a,adji kurniawan,https://play-lh.googleusercontent.com/a-/ALV-UjVZSywKViavhn26f0OsO4iJrmggULEyLyFJ9350-W4--mmK1KBt,"Bagus, tingkatkan terus",5,0,6.8.1,2024-11-21 07:33:36,,,6.8.1
fcbe09a5-4e95-480e-83a9-0d2909b92096,reviyan uw12,https://play-lh.googleusercontent.com/a/ACg8ocLDkyn5-zb8YlZSSmsR54m50DUdrfOIB8skGMGnKc5YimGDOQ=mo,ga bisa liat jadwal kadang bisa kadang ga bisa samasekali,1,0,6.8.1,2024-11-21 07:33:34,,,6.8.1
e69f37a6-6173-46b0-9647-3ebfc347dba0,Tayyo Rija,https://play-lh.googleusercontent.com/a/ACg8ocIdvhFt44P9nE4Tr9mH60SHBqR3Jxb0A8UWgq5_6JxFBffsMA=mo,Tolong perbaiki kenapa ketika top up KAI PAI lama baget saldo masuk kenapa harus menunggu 15 menit? Tolong perbaiki jika ingin mendapatkan rating bagus,2,0,6.8.1,2024-11-21 05:21:15,,,6.8.1
5e2ffb72-be6c-41d1-99dd-62c7addd66ce,Sandhy Rahutama,https://play-lh.googleusercontent.com/a-/ALV-UjVn-0e_qRKEiM3UmtcpheFNbcXijl5AxuQkGE1IdDg9vi6eo3o,Naik kereta api jadi lebih mudah,5,0,6.7.0,2024-11-21 05:11:48,,,6.7.0
28154f7a-5d10-4be3-b378-0b90aa0e49c6,Lilik Wahyuni,https://play-lh.googleusercontent.com/a/ACg8ocLWafWr74nJvRBsZqMOCbuunBXV48m6Sy9Z28YZ8PAXfIQ7ug=mo,"Uninstall trs install ulang kenapa ga bisa selalu coba lagi sampe HP bolak balik q matiin trnyata mah blm bisa jg Tolong dong perbaiki aplikasinya, msh bagusan aplikasi yg lama Byk sekali yg komplain loh ini",1,1,,2024-11-21 04:06:25,,,
c8315d73-3c6c-429f-b744-76c256fe058e,Sprinter Koclok_,https://play-lh.googleusercontent.com/a-/ALV-UjU2DJNZ1dqRNYQq6wmKTlRRRFbDFoP9adjWkudUcfHg312WQmY,"Kereta telat lama banget Pake berhenti lama banget, padahal sesuai jadwal harusnya udah sampe, ini malah masih nunggu 20 menit di 3 stasiun sebelumnya",1,0,,2024-11-21 03:06:12,,,
fb6412e2-7d38-4be8-bcab-4f65b9f69a6f,Pradipa Gunawan,https://play-lh.googleusercontent.com/a-/ALV-UjWTp8PmbKgugfM1ueQ_ZFQa0dXcW1YnakSLJ2VrvUwudTMYjTCy,Potongan KAI pay yang tidak transparan dan juga sangat lama untuk melakukan topup,1,0,6.8.1,2024-11-21 02:38:53,,,6.8.1
6a5d53bc-2a95-4c0c-88fb-29192ca5e276,Muhamad Hafid,https://play-lh.googleusercontent.com/a-/ALV-UjUzmkqWyTI0wH_PVbQCH-azVOG3y8AFeDdmV-olxSHHbeh_6Jc,so soan bikin apk tapi nyusahin orang tolol,1,1,,2024-11-21 01:14:28,,,
65c027ee-bca8-46dd-b963-962f5ff28aac,rita sus,https://play-lh.googleusercontent.com/a/ACg8ocKyFN4Q_Vp8MBZR90wLh7OCrPkbFoJfy1QwV4-4zrcUAbIlLA=mo,bagus......pelayanan ok,5,0,6.7.0,2024-11-21 00:26:22,,,6.7.0
